time,Xangle,Yangle,Zangle,velocityX,velocityY,velocityZ,accelX,accelY,accelZ
0.01,0.0,0.0,0.0,0.0,-0.059042852,0.0,0.0,-5.9042854,-0.0
0.02,0.0,0.0,0.0,0.0,-0.11808579,0.0,0.0,-5.904293,-0.0
0.03,0.0,0.0,0.0,0.0,-0.17712896,0.0,0.0,-5.904317,-0.0
0.04,0.0,0.0,0.0,0.0,-0.23617251,0.0,0.0,-5.904356,-0.0
0.05,0.0,0.0,0.0,0.0,-0.29521662,0.0,0.0,-5.9044104,-0.0
0.06,0.0,0.0,0.0,0.0,-0.35426143,0.0,0.0,-5.904481,-0.0
0.07,0.0,0.0,0.0,0.0,-0.4133071,0.0,0.0,-5.904567,-0.0
0.08,0.0,0.0,0.0,0.0,-0.4723538,0.0,0.0,-5.9046683,-0.0
0.09,0.0,0.0,0.0,0.0,-0.53140163,0.0,0.0,-5.9047856,-0.0
0.10,0.0,0.0,0.0,0.0,-0.5904508,0.0,0.0,-5.9049187,-0.0
0.11,0.0,0.0,0.0,0.0,-0.6495015,0.0,0.0,-5.9050665,-0.0
0.12,0.0,0.0,0.0,0.0,-0.7085538,0.0,0.0,-5.9052305,-0.0
0.13,0.0,0.0,0.0,0.0,-0.76760787,0.0,0.0,-5.9054103,-0.0
0.14,0.0,0.0,0.0,0.0,-0.8266639,0.0,0.0,-5.905606,-0.0
0.15,0.0,0.0,0.0,0.0,-0.88572204,0.0,0.0,-5.905816,-0.0
0.16,0.0,0.0,0.0,0.0,-0.9447825,0.0,0.0,-5.906043,-0.0
0.17,0.0,0.0,0.0,0.0,-1.0038453,0.0,0.0,-5.906285,-0.0
0.18,0.0,0.0,0.0,0.0,-1.0629108,0.0,0.0,-5.9065433,-0.0
0.19,0.0,0.0,0.0,0.0,-1.121979,0.0,0.0,-5.9068165,-0.0
0.20,0.0,0.0,0.0,0.0,-1.1810501,0.0,0.0,-5.907105,-0.0
0.21,0.0,0.0,0.0,0.0,-1.2401241,0.0,0.0,-5.90741,-0.0
0.22,0.0,0.0,0.0,0.0,-1.2992014,0.0,0.0,-5.9077306,-0.0
0.23,0.0,0.0,0.0,0.0,-1.3582821,0.0,0.0,-5.9080663,-0.0
0.24,0.0,0.0,0.0,0.0,-1.4173663,0.0,0.0,-5.9084187,-0.0
0.25,0.0,0.0,0.0,0.0,-1.4764541,0.0,0.0,-5.908786,-0.0
0.26,0.0,0.0,0.0,0.0,-1.5355458,0.0,0.0,-5.9091682,-0.0
0.27,0.0,0.0,0.0,0.0,-1.5946414,0.0,0.0,-5.909568,-0.0
0.28,0.0,0.0,0.0,0.0,-1.6537412,0.0,0.0,-5.9099817,-0.0
0.29,0.0,0.0,0.0,0.0,-1.7128453,0.0,0.0,-5.910412,-0.0
0.30,0.0,0.0,0.0,0.0,-1.7719539,0.0,0.0,-5.910857,-0.0
0.31,0.0,0.0,0.0,0.0,-1.8310671,0.0,0.0,-5.911319,-0.0
0.32,0.0,0.0,0.0,0.0,-1.890185,0.0,0.0,-5.9117956,-0.0
0.33,0.0,0.0,0.0,0.0,-1.9493079,0.0,0.0,-5.912289,-0.0
0.34,0.0,0.0,0.0,0.0,-2.008436,0.0,0.0,-5.912797,-0.0
0.35,0.0,0.0,0.0,0.0,-2.0675693,0.0,0.0,-5.9133215,-0.0
0.36,0.0,0.0,0.0,0.0,-2.1267078,0.0,0.0,-5.9138613,-0.0
0.37,0.0,0.0,0.0,0.0,-2.185852,0.0,0.0,-5.9144173,-0.0
0.38,0.0,0.0,0.0,0.0,-2.245002,0.0,0.0,-5.914988,-0.0
0.39,0.0,0.0,0.0,0.0,-2.3041577,0.0,0.0,-5.915575,-0.0
