time,posX,setPosX,posY,setPosY,posZ,setPosZ,angleX,setAngleX,angleY,setAngleY,angleZ,setAngleZ,m1,m2,m3,m4
000.000,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000.005,0.0,0.0,0.0,0.0,8.760372E-5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.010,0.0,0.0,0.0,0.0,5.0806114E-4,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.015,0.0,0.0,0.0,0.0,0.0012613724,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.020,0.0,0.0,0.0,0.0,0.0023475373,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.025,0.0,0.0,0.0,0.0,0.0037665558,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.030,0.0,0.0,0.0,0.0,0.005518428,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.035,0.0,0.0,0.0,0.0,0.007603154,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.040,0.0,0.0,0.0,0.0,0.010020734,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.045,0.0,0.0,0.0,0.0,0.012771167,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.050,0.0,0.0,0.0,0.0,0.015854454,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.055,0.0,0.0,0.0,0.0,0.019270595,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.060,0.0,0.0,0.0,0.0,0.02301959,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.065,0.0,0.0,0.0,0.0,0.027101438,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.070,0.0,0.0,0.0,0.0,0.031516142,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.075,0.0,0.0,0.0,0.0,0.036263697,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.080,0.0,0.0,0.0,0.0,0.041344106,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.085,0.0,0.0,0.0,0.0,0.04675737,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.090,0.0,0.0,0.0,0.0,0.05250349,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.095,0.0,0.0,0.0,0.0,0.058582462,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.100,0.0,0.0,0.0,0.0,0.06499429,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.105,0.0,0.0,0.0,0.0,0.07173897,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.110,0.0,0.0,0.0,0.0,0.0788165,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.115,0.0,0.0,0.0,0.0,0.08622689,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.120,0.0,0.0,0.0,0.0,0.09397013,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.125,0.0,0.0,0.0,0.0,0.10204622,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.130,0.0,0.0,0.0,0.0,0.11045517,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.135,0.0,0.0,0.0,0.0,0.119196974,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.140,0.0,0.0,0.0,0.0,0.12827162,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.145,0.0,0.0,0.0,0.0,0.13767913,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.150,0.0,0.0,0.0,0.0,0.1474195,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.155,0.0,0.0,0.0,0.0,0.15749271,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.160,0.0,0.0,0.0,0.0,0.16789879,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.165,0.0,0.0,0.0,0.0,0.17863771,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.170,0.0,0.0,0.0,0.0,0.18970948,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.175,0.0,0.0,0.0,0.0,0.20111412,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.180,0.0,0.0,0.0,0.0,0.2128516,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.185,0.0,0.0,0.0,0.0,0.22492194,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.190,0.0,0.0,0.0,0.0,0.23732513,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.195,0.0,0.0,0.0,0.0,0.25006118,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.200,0.0,0.0,0.0,0.0,0.2631301,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.205,0.0,0.0,0.0,0.0,0.27653185,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.210,0.0,0.0,0.0,0.0,0.29026645,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.215,0.0,0.0,0.0,0.0,0.30433393,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.220,0.0,0.0,0.0,0.0,0.31873423,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.225,0.0,0.0,0.0,0.0,0.3334674,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.230,0.0,0.0,0.0,0.0,0.34853342,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.235,0.0,0.0,0.0,0.0,0.3639323,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.240,0.0,0.0,0.0,0.0,0.37966403,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.245,0.0,0.0,0.0,0.0,0.39572862,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.250,0.0,0.0,0.0,0.0,0.41212606,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.255,0.0,0.0,0.0,0.0,0.42885634,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.260,0.0,0.0,0.0,0.0,0.44591948,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.265,0.0,0.0,0.0,0.0,0.4633155,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.270,0.0,0.0,0.0,0.0,0.48104435,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.275,0.0,0.0,0.0,0.0,0.49910605,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.280,0.0,0.0,0.0,0.0,0.51750064,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.285,0.0,0.0,0.0,0.0,0.53622806,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.290,0.0,0.0,0.0,0.0,0.5552883,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.295,0.0,0.0,0.0,0.0,0.57468146,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.300,0.0,0.0,0.0,0.0,0.59440744,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.305,0.0,0.0,0.0,0.0,0.61446625,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.310,0.0,0.0,0.0,0.0,0.63485795,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.315,0.0,0.0,0.0,0.0,0.6555825,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.320,0.0,0.0,0.0,0.0,0.67663985,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.325,0.0,0.0,0.0,0.0,0.6980301,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.330,0.0,0.0,0.0,0.0,0.7197532,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
