time,posX,setPosX,posY,setPosY,posZ,setPosZ,angleX,setAngleX,angleY,setAngleY,angleZ,setAngleZ,m1,m2,m3,m4
000.000,10.0,0.0,10.0,0.0,9.999755,10.0,0.0,-0.43633232,0.0,-0.43633232,0.0,0.0,0.0,0.0,0.0,0.0
000.005,10.0,0.0,10.0,0.0,9.999437,10.0,-2.4669888E-4,-0.43633232,-2.4669888E-4,-0.43633232,-1.3894733E-4,0.0,0.09875488,1.0,0.09875488,0.0
000.010,10.0,0.0,10.0,0.0,9.999139,10.0,-7.400967E-4,-0.43633232,-7.400967E-4,-0.43633232,-3.078282E-4,0.0,0.41355947,1.0,0.41355947,0.0
000.015,10.0,0.0,10.0,0.0,9.998877,10.0,-0.0014801933,-0.43633232,-0.0014801933,-0.43633232,-4.8531865E-4,0.0,0.47513762,1.0,0.47513762,0.0
000.020,9.999999,0.0,9.999999,0.0,9.998654,10.0,-0.0024669887,-0.43633232,-0.0024669887,-0.43633232,-6.6713034E-4,0.0,0.48752138,1.0,0.48752138,0.0
000.025,9.999998,0.0,9.999998,0.0,9.998473,10.0,-0.0037004831,-0.43633232,-0.0037004831,-0.43633232,-8.5243944E-4,0.0,0.4899003,1.0,0.4899003,0.0
000.030,9.999995,0.0,9.999995,0.0,9.998333,10.0,-0.0051806765,-0.43633232,-0.0051806765,-0.43633232,-0.0010411072,0.0,0.49030095,1.0,0.49030095,0.0
000.035,9.999991,0.0,9.999991,0.0,9.998234,10.0,-0.0069075683,-0.43633232,-0.0069075683,-0.43633232,-0.0012330752,0.0,0.49047014,1.0,0.49047014,0.0
000.040,9.999986,0.0,9.999986,0.0,9.998176,10.0,-0.008881159,-0.43633232,-0.008881159,-0.43633232,-0.0014283109,0.0,0.49056324,1.0,0.49056324,0.0
000.045,9.999977,0.0,9.999977,0.0,9.998158,10.0,-0.011101449,-0.43633232,-0.011101449,-0.43633232,-0.001626791,0.0,0.49063104,1.0,0.49063104,0.0
000.050,9.999966,0.0,9.999966,0.0,9.998183,10.0,-0.013568438,-0.43633232,-0.013568438,-0.43633232,-0.0018284937,0.0,0.49069408,1.0,0.49069408,0.0
000.055,9.99995,0.0,9.99995,0.0,9.998248,10.0,-0.016282126,-0.43633232,-0.016282126,-0.43633232,-0.0020335326,0.0,0.49036545,1.0,0.49036545,0.0
000.060,9.99993,0.0,9.99993,0.0,9.998355,10.0,-0.019242512,-0.43633232,-0.019242512,-0.43633232,-0.0022416627,0.0,0.49107373,1.0,0.49107373,0.0
000.065,9.999905,0.0,9.999905,0.0,9.998503,10.0,-0.022449598,-0.43633232,-0.022449598,-0.43633232,-0.0024530627,0.0,0.49055755,1.0,0.49055755,0.0
000.070,9.999872,0.0,9.999872,0.0,9.998692,10.0,-0.025903381,-0.43633232,-0.025903381,-0.43633232,-0.0026676413,0.0,0.49082077,1.0,0.49082077,0.0
000.075,9.999833,0.0,9.999833,0.0,9.998921,10.0,-0.029603865,-0.43633232,-0.029603865,-0.43633232,-0.0028853582,0.0,0.49093735,1.0,0.49093735,0.0
