time,posX,setPosX,posY,setPosY,posZ,setPosZ,angleX,setAngleX,angleY,setAngleY,angleZ,setAngleZ,m1,m2,m3,m4,jetAngleX,jetAngleY
000.000,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000.005,0.0,0.0,0.0,0.0,4.2166765E-5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
000.010,0.0,0.0,0.0,0.0,3.1652453E-4,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
000.015,0.0,0.0,0.0,0.0,8.230733E-4,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
000.020,0.0,0.0,0.0,0.0,0.001561813,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
000.025,0.0,0.0,0.0,0.0,0.0025327438,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
000.030,0.0,0.0,0.0,0.0,0.0037358657,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
000.035,0.0,0.0,0.0,0.0,0.005171179,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
000.040,0.0,0.0,0.0,0.0,0.006838683,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
000.045,0.0,0.0,0.0,0.0,0.008738378,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
000.050,0.0,0.0,0.0,0.0,0.010870264,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
000.055,0.0,0.0,0.0,0.0,0.0132343415,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
000.060,0.0,0.0,0.0,0.0,0.01583061,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
000.065,0.0,0.0,0.0,0.0,0.01865907,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
000.070,0.0,0.0,0.0,0.0,0.02171972,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
000.075,0.0,0.0,0.0,0.0,0.025012562,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
000.080,0.0,0.0,0.0,0.0,0.028537594,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
000.085,0.0,0.0,0.0,0.0,0.032294817,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
000.090,0.0,0.0,0.0,0.0,0.03628423,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
000.095,0.0,0.0,0.0,0.0,0.040505838,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
000.100,0.0,0.0,0.0,0.0,0.044959635,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
000.105,0.0,0.0,0.0,0.0,0.04964562,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
000.110,0.0,0.0,0.0,0.0,0.0545638,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
000.115,0.0,0.0,0.0,0.0,0.059714172,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
000.120,0.0,0.0,0.0,0.0,0.065096736,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
000.125,0.0,0.0,0.0,0.0,0.070711486,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
000.130,0.0,0.0,0.0,0.0,0.076558426,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
000.135,0.0,0.0,0.0,0.0,0.08263756,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
000.140,0.0,0.0,0.0,0.0,0.08894889,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
000.145,0.0,0.0,0.0,0.0,0.09549241,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
000.150,0.0,0.0,0.0,0.0,0.102268115,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
000.155,0.0,0.0,0.0,0.0,0.10927601,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
000.160,0.0,0.0,0.0,0.0,0.1165161,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
000.165,0.0,0.0,0.0,0.0,0.12398838,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
000.170,0.0,0.0,0.0,0.0,0.13169286,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
000.175,0.0,0.0,0.0,0.0,0.13962951,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
000.180,0.0,0.0,0.0,0.0,0.14779836,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
000.185,0.0,0.0,0.0,0.0,0.15619941,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
000.190,0.0,0.0,0.0,0.0,0.16483265,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
000.195,0.0,0.0,0.0,0.0,0.17369808,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
