time,posX,setPosX,posY,setPosY,posZ,setPosZ,angleX,setAngleX,angleY,setAngleY,angleZ,setAngleZ,m1,m2,m3,m4,jetAngleX,jetAngleY,gimbalXTorque,gimbalYTorque
0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0,0,0,0,4.22E-05,10,0,0,0,0,0,0,1,1,1,1,0,0,0,0
0.01,0,0,0,0,3.17E-04,10,0,0,0,0,0,0,1,1,1,1,0,0,0,0
0.015,0,0,0,0,8.23E-04,10,0,0,0,0,0,0,1,1,1,1,0,0,0,0
0.02,0,0,0,0,0.001561813,10,0,0,0,0,0,0,1,1,1,1,0,0,0,0
0.025,0,0,0,0,0.002532744,10,0,0,0,0,0,0,1,1,1,1,0,0,0,0
0.03,0,0,0,0,0.003735866,10,0,0,0,0,0,0,1,1,1,1,0,0,0,0
0.035,0,0,0,0,0.005171179,10,0,0,0,0,0,0,1,1,1,1,0,0,0,0
0.04,0,0,0,0,0.006838683,10,0,0,0,0,0,0,1,1,1,1,0,0,0,0
0.045,0,0,0,0,0.008738378,10,0,0,0,0,0,0,1,1,1,1,0,0,0,0
0.05,0,0,0,0,0.010870264,10,0,0,0,0,0,0,1,1,1,1,0,0,0,0
0.055,0,0,0,0,0.013234342,10,0,0,0,0,0,0,1,1,1,1,0,0,0,0
0.06,0,0,0,0,0.01583061,10,0,0,0,0,0,0,1,1,1,1,0,0,0,0
0.065,0,0,0,0,0.01865907,10,0,0,0,0,0,0,1,1,1,1,0,0,0,0
0.07,0,0,0,0,0.02171972,10,0,0,0,0,0,0,1,1,1,1,0,0,0,0
0.075,0,0,0,0,0.025012562,10,0,0,0,0,0,0,1,1,1,1,0,0,0,0
0.08,0,0,0,0,0.028537594,10,0,0,0,0,0,0,1,1,1,1,0,0,0,0
0.085,0,0,0,0,0.032294817,10,0,0,0,0,0,0,1,1,1,1,0,0,0,0
0.09,0,0,0,0,0.03628423,10,0,0,0,0,0,0,1,1,1,1,0,0,0,0
0.095,0,0,0,0,0.040505838,10,0,0,0,0,0,0,1,1,1,1,0,0,0,0
0.1,0,0,0,0,0.044959635,10,0,0,0,0,0,0,1,1,1,1,0,0,0,0
0.105,0,0,0,0,0.04964562,10,0,0,0,0,0,0,1,1,1,1,0,0,0,0
0.11,0,0,0,0,0.0545638,10,0,0,0,0,0,0,1,1,1,1,0,0,0,0
0.115,0,0,0,0,0.059714172,10,0,0,0,0,0,0,1,1,1,1,0,0,0,0
