time,posX,posY,posZ,angleX,angleY,angleZ,m1,m2,m3,m4
000.000,0.0,0.0,9.999755,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000.005,0.0,0.0,9.999284,0.0,0.0,0.0,0.04941102,0.04941102,0.04941102,0.04941102
000.010,0.0,0.0,9.998604,0.0,0.0,0.0,0.095369,0.095369,0.095369,0.095369
000.015,0.0,0.0,9.997732,0.0,0.0,0.0,0.13822797,0.13822797,0.13822797,0.13822797
000.020,0.0,0.0,9.996683,0.0,0.0,0.0,0.17796044,0.17796044,0.17796044,0.17796044
000.025,0.0,0.0,9.995472,0.0,0.0,0.0,0.21511576,0.21511576,0.21511576,0.21511576
000.030,0.0,0.0,9.994112,0.0,0.0,0.0,0.24947877,0.24947877,0.24947877,0.24947877
000.035,0.0,0.0,9.992615,0.0,0.0,0.0,0.28140962,0.28140962,0.28140962,0.28140962
000.040,0.0,0.0,9.990993,0.0,0.0,0.0,0.31127143,0.31127143,0.31127143,0.31127143
000.045,0.0,0.0,9.989256,0.0,0.0,0.0,0.33885366,0.33885366,0.33885366,0.33885366
000.050,0.0,0.0,9.987414,0.0,0.0,0.0,0.36452103,0.36452103,0.36452103,0.36452103
000.055,0.0,0.0,9.985477,0.0,0.0,0.0,0.38844895,0.38844895,0.38844895,0.38844895
000.060,0.0,0.0,9.983454,0.0,0.0,0.0,0.4106222,0.4106222,0.4106222,0.4106222
000.065,0.0,0.0,9.981351,0.0,0.0,0.0,0.43121785,0.43121785,0.43121785,0.43121785
000.070,0.0,0.0,9.9791765,0.0,0.0,0.0,0.45041433,0.45041433,0.45041433,0.45041433
000.075,0.0,0.0,9.976937,0.0,0.0,0.0,0.4681995,0.4681995,0.4681995,0.4681995
000.080,0.0,0.0,9.974639,0.0,0.0,0.0,0.48475337,0.48475337,0.48475337,0.48475337
000.085,0.0,0.0,9.972288,0.0,0.0,0.0,0.50025755,0.50025755,0.50025755,0.50025755
000.090,0.0,0.0,9.969891,0.0,0.0,0.0,0.5145107,0.5145107,0.5145107,0.5145107
000.095,0.0,0.0,9.967451,0.0,0.0,0.0,0.5276942,0.5276942,0.5276942,0.5276942
000.100,0.0,0.0,9.964974,0.0,0.0,0.0,0.5399914,0.5399914,0.5399914,0.5399914
000.105,0.0,0.0,9.962465,0.0,0.0,0.0,0.5513945,0.5513945,0.5513945,0.5513945
000.110,0.0,0.0,9.959928,0.0,0.0,0.0,0.56189597,0.56189597,0.56189597,0.56189597
000.115,0.0,0.0,9.957365,0.0,0.0,0.0,0.57168037,0.57168037,0.57168037,0.57168037
000.120,0.0,0.0,9.954781,0.0,0.0,0.0,0.58074164,0.58074164,0.58074164,0.58074164
000.125,0.0,0.0,9.952178,0.0,0.0,0.0,0.58926594,0.58926594,0.58926594,0.58926594
000.130,0.0,0.0,9.94956,0.0,0.0,0.0,0.59705645,0.59705645,0.59705645,0.59705645
