time,posX,posY,posZ,angleX,angleY,angleZ,m1,m2,m3,m4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.01,0.0,0.0,3.5054924E-5,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.015,0.0,0.0,2.1026231E-4,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.02,0.0,0.0,5.2562216E-4,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.024999999,0.0,0.0,9.811345E-4,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.029999997,0.0,0.0,0.0015767992,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.034999996,0.0,0.0,0.0023126164,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.039999995,0.0,0.0,0.003188586,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.044999994,0.0,0.0,0.004204708,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.049999993,0.0,0.0,0.0053609824,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.054999992,0.0,0.0,0.0066574095,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.05999999,0.0,0.0,0.0080939885,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.06499999,0.0,0.0,0.00967072,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.06999999,0.0,0.0,0.011387604,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.074999996,0.0,0.0,0.013244641,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.08,0.0,0.0,0.01524183,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.085,0.0,0.0,0.017379172,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.09,0.0,0.0,0.019656666,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.095000006,0.0,0.0,0.022074312,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.10000001,0.0,0.0,0.024632111,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.10500001,0.0,0.0,0.027330063,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.110000014,0.0,0.0,0.030168168,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.11500002,0.0,0.0,0.033146426,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.12000002,0.0,0.0,0.036264837,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.12500001,0.0,0.0,0.0395234,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.13000001,0.0,0.0,0.042922113,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.135,0.0,0.0,0.04646098,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.14,0.0,0.0,0.050139997,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.145,0.0,0.0,0.05395917,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.14999999,0.0,0.0,0.057918493,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.15499999,0.0,0.0,0.06201797,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.15999998,0.0,0.0,0.066257596,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.16499998,0.0,0.0,0.070637375,0.0,0.0,0.0,1.0,1.0,1.0,1.0
